"","classroom","ac2","pb2","female","black","frl","sped","age","ac1","db1","cp1","pb1","er1","r.ac2","r.pb2"
"156",89,1,-1.352647596,0,1,0,0,0.648215752,-2.019354839,1.124027862,1.847926267,-1.08204504,2.511381619,-0.416556170643274,-0.0232426281553088
"157",24,5,0.647352404,1,1,1,0,1.423027525,-0.219354839,-0.209305471,-1.152073733,0.11795496,-1.288618381,1.85033608090349,0.576025514446302
"158",96,4.4,1.247352404,1,0,0,0,-1.651578909,-1.019354839,-0.542638804,-1.152073733,0.71795496,-0.488618381,0.970837845229886,1.01584025513498
"159",24,5,0.647352404,1,1,1,0,1.814540187,0.780645161,-0.09819436,-0.580645161,0.31795496,-0.288618381,1.11255561845439,0.503294172681054
"160",72,3.4,0.447352404,0,1,1,0,-0.452400264,0.580645161,-0.09819436,-0.294930876,-0.48204504,-0.488618381,-0.698257651302664,0.439978243009137
"161",37,2,0.247352404,1,0,1,0,-1.840490614,-1.619354839,0.124027862,-0.152073733,-2.08204504,-0.288618381,0.0478176104205493,1.06821480682081
"162",102,3.6,-0.352647596,1,1,1,0,0.114334848,-0.419354839,0.012916751,-0.294930876,0.51795496,0.111381619,0.175415278192587,-0.388735729772951
"163",15,5,1.247352404,1,0,1,0,-1.208047082,1.380645161,-0.764861027,-2.152073733,1.51795496,-0.688618381,-0.281377875321122,0.340624843660823
"164",70,4.6,1.247352404,0,1,0,0,-1.339463919,0.580645161,-0.653749915,-1.437788018,1.51795496,-1.288618381,0.5181927897926,0.233689194323713
"165",32,4.8,0.847352404,1,1,0,0,-0.181353037,1.580645161,-0.653749915,-0.580645161,1.31795496,0.111381619,-0.111119912212313,-0.09389747813755
"166",58,1.4,0.047352404,1,1,1,1,-0.485254474,-1.619354839,-0.320416582,0.705069124,-1.08204504,1.911381619,-0.49472775230081,0.434202818178517
"167",69,4.8,-0.752647596,1,1,0,0,-1.487307862,0.780645161,0.012916751,-1.00921659,-0.48204504,-0.688618381,-0.0663446435336581,-1.06638046075529
"168",45,2.6,-0.152647596,0,0,0,0,-1.205309231,0.780645161,-0.431527693,1.99078341,0.31795496,0.711381619,-0.73731830707754,-0.138675616614747
"169",54,4.6,1.047352404,1,1,1,0,0.993184951,-0.219354839,-0.764861027,2.133640553,0.11795496,-0.288618381,0.654959431331591,-0.10785333231274
"170",76,1.2,-0.352647596,1,1,1,0,0.525012467,-2.219354839,-0.764861027,1.276497696,-0.68204504,-0.288618381,-0.512260121889038,0.0236448913308742
"171",96,1.4,-0.952647596,1,1,0,0,-1.104008752,-1.419354839,-0.431527693,-0.152073733,0.31795496,0.911381619,-1.39496526694631,-0.521294732085512
"172",10,5,0.247352404,0,0,0,0,-1.364104577,1.580645161,-0.09819436,-1.723502304,0.11795496,0.311381619,-0.187155780380907,-0.0822812972979163
"173",25,4,0.647352404,1,1,1,0,-1.82680136,0.180645161,-0.209305471,-1.437788018,0.51795496,-0.688618381,0.531041067449605,0.200558897887169
"174",4,4.6,-1.752647596,1,1,1,0,-0.652263372,0.580645161,0.790694529,-0.580645161,-0.68204504,0.711381619,1.00994217101001,-0.990232197744245
