classroom,ac2,pb2,female,black,frl,sped,age,ac1,db1,cp1,pb1,er1,r.ac2,r.pb2
81,2.4,0.447352404,0,1,0,0,-1.082105945,-0.619354839,0.012916751,-0.152073733,1.31795496,-1.088618381,-0.297609581,0.116111589
105,4,0.447352404,0,0,1,0,1.428503226,-1.219354839,0.346250085,1.847926267,-0.88204504,-0.288618381,0.976107054,0.792948342
56,3.8,-0.752647596,1,1,1,0,0.878195218,-0.219354839,0.235138973,0.705069124,-0.88204504,0.311381619,0.442572356,-0.187366466
27,4.2,0.847352404,1,1,1,0,-0.953426958,-0.019354839,-0.431527693,-1.580645161,0.51795496,0.111381619,0.721087336,0.680887012
34,5,1.247352404,1,0,1,0,-0.509895131,1.380645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,0.360036638,-0.07333648
15,3.6,-2.152647596,1,0,0,0,-1.391483084,-0.619354839,0.679583418,1.562211982,-0.48204504,0.511381619,0.0807197,-1.502851556
54,2.2,0.847352404,0,1,1,0,0.582507333,-1.619354839,-0.209305471,0.133640553,-1.48204504,-0.488618381,-0.428218689,0.892479808
21,4.6,1.247352404,0,1,1,0,0.552390974,1.780645161,-0.764861027,-2.152073733,1.51795496,-0.288618381,-0.381541579,0.030194121
47,1.2,-0.552647596,1,1,1,0,-1.424337294,-1.219354839,-0.764861027,0.562211982,-0.88204504,-0.888618381,-1.461003943,-0.596538938
71,3,-1.352647596,0,1,0,0,-1.706335925,-1.619354839,1.568472307,0.562211982,-1.08204504,1.511381619,0.692528154,-0.432670548
28,4,0.247352404,0,1,1,0,-0.071839005,1.780645161,-0.09819436,-1.866359447,1.51795496,-1.288618381,-0.685679005,-0.604710044
51,4.8,0.647352404,1,0,0,0,-0.463351668,1.380645161,-0.764861027,1.562211982,-0.68204504,-0.288618381,-0.178412367,-0.091554716
14,5,1.247352404,1,1,0,0,-0.285391366,1.180645161,-0.542638804,-1.580645161,-0.08204504,1.111381619,0.385418171,0.723394466
96,2.6,-1.552647596,1,0,0,0,-1.188882126,-2.019354839,1.124027862,1.276497696,-1.48204504,0.711381619,0.23096652,-0.154572005
104,5,-0.552647596,1,0,0,0,0.358003569,0.980645161,0.124027862,-1.437788018,-0.48204504,-1.288618381,-0.109725446,-0.761607388
83,1.4,-1.152647596,0,1,0,0,-1.813112106,-1.819354839,-0.653749915,0.847926267,-0.28204504,-0.688618381,-0.277822077,-0.506517767
31,2.8,-2.352647596,0,1,1,0,1.02330131,-0.619354839,0.790694529,-0.00921659,-1.08204504,-0.888618381,0.241606852,-1.17253291
86,2.8,-1.152647596,0,1,1,0,-0.178615186,-1.219354839,-0.09819436,-0.00921659,0.71795496,-1.288618381,-0.227728921,-1.458682621
